id_servicio,servicio
831313699,7.4 Enfermedades Transmisibles
831313699,7.5 Salud Materna y Salud Perinatal
831313699,7.5 Salud Materna y Salud Perinatal
831313699,7.5 Salud Materna y Salud Perinatal
831313699,7.5 Salud Materna y Salud Perinatal
831313699,7.5 Salud Materna y Salud Perinatal
831313699,7.5 Salud Materna y Salud Perinatal
831313699,7.5 Salud Materna y Salud Perinatal
831313699,7.6 Prevención y Atención VIH
831313699,7.7 Salud Sexual y Reproductiva
831313699,7.8 Violencia Sexual
831313699,7.8 Violencia Sexual
831313699,7.9 Salud Nutricional
831353665,7.1 Servicios de atención primaria
831353665,7.1 Servicios de atención primaria
831353665,7.1 Servicios de atención primaria
831353665,7.1 Servicios de atención primaria
831353665,7.1 Servicios de atención primaria
831353665,7.1 Servicios de atención primaria
831353665,7.11 Sistema de Alerta Temprana y Vigilancia Epidemiológica
831353665,7.11 Sistema de Alerta Temprana y Vigilancia Epidemiológica
831353665,7.12 Atención a Lesiones y Traumas
831353665,7.12 Atención a Lesiones y Traumas
831353665,7.2 Salud Mental y Acompañamiento Psicosocial
831353665,7.2 Salud Mental y Acompañamiento Psicosocial
831353665,7.3 Enfermedades No Transmisibles
831353665,7.3 Enfermedades No Transmisibles
831353665,7.3 Enfermedades No Transmisibles
831353665,7.3 Enfermedades No Transmisibles
831353665,7.3 Enfermedades No Transmisibles
831353665,7.4 Enfermedades Transmisibles
831353665,7.4 Enfermedades Transmisibles
831353665,7.4 Enfermedades Transmisibles
831353665,7.4 Enfermedades Transmisibles
831353665,7.4 Enfermedades Transmisibles
831353665,7.4 Enfermedades Transmisibles
831353665,7.4 Enfermedades Transmisibles
831353665,7.4 Enfermedades Transmisibles
831353665,7.4 Enfermedades Transmisibles
831353665,7.5 Salud Materna y Salud Perinatal
831353665,7.5 Salud Materna y Salud Perinatal
831353665,7.5 Salud Materna y Salud Perinatal
831353665,7.5 Salud Materna y Salud Perinatal
831353665,7.5 Salud Materna y Salud Perinatal
831353665,7.5 Salud Materna y Salud Perinatal
831353665,7.7 Salud Sexual y Reproductiva
831537131,7.1 Servicios de atención primaria
831537131,7.1 Servicios de atención primaria
831537131,7.1 Servicios de atención primaria
831537131,7.1 Servicios de atención primaria
831537131,7.1 Servicios de atención primaria
831537131,7.1 Servicios de atención primaria
831537131,7.10 Vacunación
831537131,7.10 Vacunación
831537131,7.10 Vacunación
831537131,7.10 Vacunación
831537131,7.10 Vacunación
831537131,7.10 Vacunación
831537131,7.10 Vacunación
831537131,7.11 Sistema de Alerta Temprana y Vigilancia Epidemiológica
831537131,7.12 Atención a Lesiones y Traumas
831537131,7.13 Acciones a nivel Institucional
831537131,7.13 Acciones a nivel Institucional
831537131,7.13 Acciones a nivel Institucional
831537131,7.13 Acciones a nivel Institucional
831537131,7.13 Acciones a nivel Institucional
831537131,7.13 Acciones a nivel Institucional
831537131,7.14 Acciones a nivel Comunitario
831537131,7.14 Acciones a nivel Comunitario
831537131,7.14 Acciones a nivel Comunitario
831537131,7.14 Acciones a nivel Comunitario
831537131,7.2 Salud Mental y Acompañamiento Psicosocial
831537131,7.2 Salud Mental y Acompañamiento Psicosocial
831537131,7.2 Salud Mental y Acompañamiento Psicosocial
831537131,7.2 Salud Mental y Acompañamiento Psicosocial
831537131,7.4 Enfermedades Transmisibles
831537131,7.4 Enfermedades Transmisibles
831537131,7.4 Enfermedades Transmisibles
831537131,7.4 Enfermedades Transmisibles
831537131,7.4 Enfermedades Transmisibles
831537131,7.4 Enfermedades Transmisibles
831537131,7.4 Enfermedades Transmisibles
831537131,7.5 Salud Materna y Salud Perinatal
831537131,7.5 Salud Materna y Salud Perinatal
831537131,7.5 Salud Materna y Salud Perinatal
831537131,7.5 Salud Materna y Salud Perinatal
831537131,7.5 Salud Materna y Salud Perinatal
831537131,7.6 Prevención y Atención VIH
831537131,7.8 Violencia Sexual
831537131,7.8 Violencia Sexual
831537131,7.8 Violencia Sexual
831537131,7.8 Violencia Sexual
831537131,7.8 Violencia Sexual
831537131,7.9 Salud Nutricional
831537131,7.9 Salud Nutricional
831537131,7.9 Salud Nutricional
831542034,7.1 Servicios de atención primaria
831542034,7.1 Servicios de atención primaria
831542034,7.1 Servicios de atención primaria
831542034,7.1 Servicios de atención primaria
831542034,7.1 Servicios de atención primaria
831542034,7.1 Servicios de atención primaria
831542034,7.10 Vacunación
831542034,7.10 Vacunación
831542034,7.10 Vacunación
831542034,7.10 Vacunación
831542034,7.10 Vacunación
831542034,7.10 Vacunación
831542034,7.10 Vacunación
831542034,7.11 Sistema de Alerta Temprana y Vigilancia Epidemiológica
831542034,7.12 Atención a Lesiones y Traumas
831542034,7.13 Acciones a nivel Institucional
831542034,7.13 Acciones a nivel Institucional
831542034,7.13 Acciones a nivel Institucional
831542034,7.13 Acciones a nivel Institucional
831542034,7.13 Acciones a nivel Institucional
831542034,7.14 Acciones a nivel Comunitario
831542034,7.14 Acciones a nivel Comunitario
831542034,7.14 Acciones a nivel Comunitario
831542034,7.14 Acciones a nivel Comunitario
831542034,7.2 Salud Mental y Acompañamiento Psicosocial
831542034,7.2 Salud Mental y Acompañamiento Psicosocial
